№;Контекст;Русский;English;Español
79;FullSocketSidePanel;"1.0
сек";"1.0
s";"1.0
s"
80;FullSocketSidePanel;"1.5
сек";"1.5
s";"1.5
s"
81;FullSocketStepHint;←;←;←
82;FullSocketStepHint;→;→;→
83;HalfSocket;Другой инструмент;Other electrode;Otro electrodo
84;HalfSocket;коагуляция;coag;coag
85;HalfSocket;резание;cut;corte
86;HalfSocket;"эфф.
рез.";cut eff.;cort ef.
87;HalfSocket;"эфф.
коаг.";coag eff.;coag ef.
88;HttpUploadController;Не удалось запустить %1;Failed to start %1;No se pudo iniciar %1
89;HttpUploadController;Timeout команды %1;Command %1 timed out;Tiempo de espera agotado para %1
90;HttpUploadController;nmcli не найден.;nmcli not found.;nmcli no encontrado.
91;HttpUploadController;Скрипт управления firewall найден, но не исполняемый: %1;Firewall control script found but not executable: %1;Script de control del firewall encontrado pero no ejecutable: %1
92;HttpUploadController;Не удалось запустить helper firewall.;Failed to start the firewall helper.;No se pudo iniciar el helper del firewall.
93;HttpUploadController;Timeout вызова helper firewall.;Firewall helper call timed out.;Tiempo de espera agotado al llamar al helper del firewall.
94;HttpUploadController;Helper firewall завершился с ошибкой.;Firewall helper finished with an error.;El helper del firewall terminó con un error.
95;HttpUploadController;Helper firewall завершился с ошибкой: %1;Firewall helper finished with an error: %1;El helper del firewall terminó con un error: %1
96;HttpUploadController;QR недоступен: не установлен qrencode.;QR unavailable: qrencode is not installed.;QR no disponible: qrencode no está instalado.
97;HttpUploadController;QR недоступен: ошибка запуска qrencode.;QR unavailable: failed to start qrencode.;QR no disponible: error al iniciar qrencode.
98;HttpUploadController;Сначала подключите телефон или ноутбук к Wi-Fi %1. Пароль: %2;First connect your phone or laptop to Wi-Fi %1. Password: %2;Primero conecte su teléfono o portátil a la red Wi-Fi %1. Contraseña: %2
99;HttpUploadController;Адрес загрузки ещё не готов.;Upload address is not ready yet.;La dirección de carga aún no está lista.
100;HttpUploadController;Если телефон уже подключён к ONYX-TEST, откройте этот QR для страницы загрузки.;If the phone is already connected to ONYX-TEST, open this QR for the upload page.;Si el teléfono ya está conectado a ONYX-TEST, abra este QR para la página de carga.
101;HttpUploadController;Устройство подключено. Отсканируйте QR для открытия страницы загрузки.;Device connected. Scan the QR to open the upload page.;Dispositivo conectado. Escanee el QR para abrir la página de carga.
102;HttpUploadController;Wi-Fi интерфейс не найден.;Wi-Fi interface not found.;Interfaz Wi-Fi no encontrada.
103;HttpUploadController;Запуск точки доступа %1...;Starting access point %1...;Iniciando el punto de acceso %1...
104;HttpUploadController;Не удалось создать профиль точки доступа.;Failed to create the access point profile.;No se pudo crear el perfil del punto de acceso.
105;HttpUploadController;Не удалось создать профиль точки доступа: %1;Failed to create the access point profile: %1;No se pudo crear el perfil del punto de acceso: %1
106;HttpUploadController;Не удалось настроить точку доступа.;Failed to configure the access point.;No se pudo configurar el punto de acceso.
107;HttpUploadController;Не удалось настроить точку доступа: %1;Failed to configure the access point: %1;No se pudo configurar el punto de acceso: %1
108;HttpUploadController;Не удалось запустить точку доступа.;Failed to start the access point.;No se pudo iniciar el punto de acceso.
109;HttpUploadController;Не удалось запустить точку доступа: %1;Failed to start the access point: %1;No se pudo iniciar el punto de acceso: %1
110;HttpUploadController;Точка доступа %1 активна. Ожидание подключения клиента.;Access point %1 is active. Waiting for a client to connect.;El punto de acceso %1 está activo. Esperando la conexión de un cliente.
111;HttpUploadController;К точке доступа подключено устройство.;A device is connected to the access point.;Un dispositivo está conectado al punto de acceso.
112;HttpUploadController;Не удалось занять порт %1: %2;Failed to bind port %1: %2;No se pudo ocupar el puerto %1: %2
113;HttpUploadController;Получение файла...;Receiving file...;Recibiendo archivo...
114;HttpUploadController;Получение файла: %1%;Receiving file: %1%;Recibiendo archivo: %1%
115;HttpUploadController;Ошибка загрузки;Upload error;Error de carga
116;HttpUploadController;Загрузка завершена;Upload finished;Carga finalizada
117;HttpUploadController;Некорректная версия интерфейса;Invalid interface version;Versión de interfaz no válida
118;HttpUploadController;Не удалось удалить старый backup UserInterface.bak;Failed to delete old backup UserInterface.bak;No se pudo eliminar la copia antigua UserInterface.bak
119;HttpUploadController;Не удалось создать backup UserInterface.bak;Failed to create backup UserInterface.bak;No se pudo crear la copia de seguridad UserInterface.bak
120;HttpUploadController;Не удалось обновить модуль интерфейса (%1);Failed to update the interface module (%1);No se pudo actualizar el módulo de interfaz (%1)
121;HttpUploadController;Не удалось выставить права на запуск для UserInterface;Failed to set execute permissions for UserInterface;No se pudieron establecer permisos de ejecución para UserInterface
122;HttpUploadController;Некорректная версия медиафайлов;Invalid media files version;Versión de archivos multimedia no válida
123;HttpUploadController;Не удалось обновить медиафайлы;Failed to update media files;No se pudieron actualizar los archivos multimedia
124;HttpUploadController;Обновление МК недоступно;MCU update unavailable;Actualización del MCU no disponible
125;HttpUploadController;Не выбрана версия;No version selected;No se ha seleccionado ninguna versión
126;HttpUploadController;Файл не найден: %1;File not found: %1;Archivo no encontrado: %1
127;HttpUploadController;Не удалось поставить обновление в очередь;Failed to queue the update;No se pudo poner la actualización en cola
128;HttpUploadController;Команда перезагрузки после обновления;Reboot command after update;Comando de reinicio tras la actualización
129;InstrumEditor;Выберите инструмент РЕЗАНИЯ для выхода %1;Select CUT electrode for output %1;Seleccione el electrodo de CORTE para la salida %1
130;InstrumEditor;Выберите инструмент КОАГУЛЯЦИИ для выхода %1;Select COAGULATION electrode for output %1;Seleccione el electrodo de COAGULACIÓN para la salida %1
131;InstrumEditor;РЕЖИМ: %1;MODE: %1;MODO: %1
132;InstrumEditor;X;X;X
133;InstrumEditor;▼;▼;▼
134;InstrumEditor;▲;▲;▲
135;InstrumEditor;ОТМЕНА;CANCEL;CANCELAR
136;InstrumEditor;Другой инструмент;Other electrode;Otro electrodo
137;InstrumEditor;ПРИНЯТЬ;ACCEPT;ACEPTAR
138;InstrumEditor;Рекомендуемый уровень;Recommended level;Nivel recomendado
139;InstrumRect;Другой инструмент;Other electrode;Otro electrodo
140;ItemList;Редактирование названия;Edit name;Editar nombre
141;ItemList;Укажите новое имя:;Enter a new name:;Introduzca un nombre nuevo:
142;ItemList;ОТМЕНА;CANCEL;CANCELAR
143;ItemList;ПРИНЯТЬ;ACCEPT;ACEPTAR
144;LinkStm;Не удалось обновить модуль;Failed to update the module;No se pudo actualizar el módulo
145;LinkStm;Файл прошивки не найден;Firmware file not found;Archivo de firmware no encontrado
146;LinkStm;Пустой или некорректный hex;Empty or invalid hex;Hex vacío o no válido
147;LogFileScreen;Январь;January;Enero
148;LogFileScreen;Февраль;February;Febrero
149;LogFileScreen;Март;March;Marzo
150;LogFileScreen;Апрель;April;Abril
151;LogFileScreen;Май;May;Mayo
152;LogFileScreen;Июнь;June;Junio
153;LogFileScreen;Июль;July;Julio
154;LogFileScreen;Август;August;Agosto
155;LogFileScreen;Сентябрь;September;Septiembre
156;LogFileScreen;Октябрь;October;Octubre
157;LogFileScreen;Ноябрь;November;Noviembre
158;LogFileScreen;Декабрь;December;Diciembre
159;LogFileScreen;Пн;Mon;Lun
160;LogFileScreen;Вт;Tue;Mar
161;LogFileScreen;Ср;Wed;Mié
162;LogFileScreen;Чт;Thu;Jue
163;LogFileScreen;Пт;Fri;Vie
164;LogFileScreen;Сб;Sat;Sáb
165;LogFileScreen;Вс;Sun;Dom
166;LogFileScreen;Журнал недоступен;Log unavailable;Registro no disponible
167;LogFileScreen;Записей нет;No records;Sin registros
168;LogFileScreen;Журнал событий (лог-файл);Event log;Registro de eventos
169;LogFileScreen;Фильтр:;Filter:;Filtro:
170;LogFileScreen;Ошибки;Errors;Errores
171;LogFileScreen;Включения;Power-ons;Encendidos
172;LogFileScreen;Всё;All;Todo
173;LogFileScreen;Не выбрана;Not selected;No seleccionada
174;LogFileScreen;Обновить;Refresh;Actualizar
175;LogFileScreen;Записей: %1;Records: %1;Registros: %1
176;LogFileScreen;Выбор даты;Select date;Seleccionar fecha
177;LogFileScreen;Закрыть;Close;Cerrar
178;LogFileScreen;Выбрано: %1;Selected: %1;Seleccionado: %1
179;LogFileScreen;Назад;back;atrás
180;MainMenu;МЕНЮ;MENU;MENÚ
181;MainMenu;НАЗАД;BACK;ATRÁS
182;MainMenu;ВИДЕОИНСТРУКЦИИ;VIDEO GUIDES;VIDEOTUTORIALES
183;MainMenu;"РЕКОМЕНДУЕМЫЕ
ПРОГРАММЫ";"RECOMMENDED
PROGRAMS";"PROGRAMAS
RECOMENDADOS"
184;MainMenu;"ПОСЛЕДНИЕ
УСТАНОВКИ";"LAST
SETTINGS";"AJUSTES
RECIENTES"
185;MainMenu;"ПРОГРАММЫ
ПОЛЬЗОВАТЕЛЯ";"USER
PROGRAMS";"PROGRAMAS
DE USUARIO"
186;MainMenu;"СВОБОДНАЯ
УСТАНОВКА";"FREE MODE
SETTING";"CONFIGURACIÓN DEL
MODO LIBRE"
187;ModeEditor;Выберите режим РЕЗАНИЯ для выхода %1;Select CUT mode for output %1;Seleccione el modo de CORTE para la salida %1
188;ModeEditor;Выберите режим КОАГУЛЯЦИИ для выхода %1;Select COAGULATION mode for output %1;Seleccione el modo de COAGULACIÓN para la salida %1
189;ModeEditor;X;X;X
190;ModeEditor;▼;▼;▼
191;ModeEditor;▲;▲;▲
192;ModeEditor;ОТМЕНА;CANCEL;CANCELAR
193;ModeEditor;ВЫКЛЮЧИТЬ РЕЖИМ;DISABLE MODE;DESACTIVAR MODO
194;ModeEditor;ПРИНЯТЬ;ACCEPT;ACEPTAR
195;ModeEditor;"РЕЖИМ НЕ ВЫБРАН

(ВЫКЛЮЧЕН)";"MODE NOT SELECTED

(DISABLED)";"MODO NO SELECCIONADO

(DESACTIVADO)"
196;ModePowerRect;эффект резания;cut eff.;cort ef.
197;ModePowerRect;эффект коагуляции;coag eff.;coag ef.
198;Modes;НЕ ВЫБРАН;MODE DISABLED;MODO DESHABILITADO
199;NetworkControl;Не удалось подключиться к Wi-Fi;Failed to connect to Wi-Fi;No se pudo conectar a la red Wi-Fi
200;NetworkControl;Не удалось отключить Wi-Fi;Failed to disconnect Wi-Fi;No se pudo desconectar la red Wi-Fi
201;NeutralDrawer;СОПРОТИВЛЕНИЕ НЭ;NE RESISTANCE;RESISTENCIA DEL EN
202;NeutralDrawer;ВЫБОР НЕЙТРАЛЬНОГО ЭЛЕКТРОДА;NEUTRAL ELECTRODE SELECTION;SELECCIÓN DEL ELECTRODO NEUTRO
203;NeutralDrawer;X;X;X
204;NeutralPowerWarningDialog;"Опасность перегрева области наложения нейтрального электрода (НЭ)! Мощность выхода %1 превышает безопасный уровень для выбранного НЭ (макс %2).
ПРОДОЛЖИТЬ с текущим уровнем мощности?
ИЛИ
ПОНИЗИТЬ мощность до безопасного уровня?";"Danger of overheating in the neutral electrode (NE) application area! %1 output power exceeds the safety level for the selected NE (max %2).
CONTINUE with the current power level?
OR
REDUCE power to a safe level?";"¡Peligro de sobrecalentamiento en la área de aplicación del electrodo neutro (EN)! El nivel de potencia en modo %1 supera el nivel seguro para el EN seleccionado (máx. %2).
¿CONTINUAR con el nivel de potencia actual?
O
¿REDUCIR la potencia a un nivel seguro?"
205;NeutralPowerWarningDialog;ПРОДОЛЖИТЬ;CONTINUE;CONTINUAR
206;NeutralPowerWarningDialog;ПОНИЗИТЬ;REDUCE;REDUCIR
207;NeutralEl;"< 5кг
Макс.50";"< 5 kg
Max. 50";"< 5 kg
Máx. 50"
208;NeutralEl;"5-15кг
Макс.75";"5-15 kg
Max. 75";"5-15 kg
Máx. 75"
209;NeutralEl;"> 15кг
Макс.400";"> 15 kg
Max. 400";"> 15 kg
Máx. 400"
210;NeutralEl;"Младенец: &lt; <b>5</b> кг<br>Макс. мощность <b>50</b>";"Infant: &lt; <b>5</b> kg<br>Max. power <b>50</b>";"Lactante: &lt; <b>5</b> kg<br>Potencia máx. <b>50</b>"
211;NeutralEl;Ребёнок: <b>5-15</b> кг<br>Макс. мощность <b>75</b>;Child: <b>5-15</b> kg<br>Max. power <b>75</b>;Niño: <b>5-15</b> kg<br>Potencia máx. <b>75</b>
212;NeutralEl;"Взрослый: &gt; <b>15</b> кг<br>Макс. мощность <b>400</b>";"Adult: &gt; <b>15</b> kg<br>Max. power <b>400</b>";"Adulto: &gt; <b>15</b> kg<br>Potencia máx. <b>400</b>"
213;PedalContainer;выбор педали;Select pedal;Selec. pedal
214;PedalDrawer;ВЫБЕРИТЕ УСТРОЙСТВО АКТИВАЦИИ;SELECT ACTIVATION DEVICE;SELECCIONE EL DISPOSITIVO DE ACTIVACIÓN
215;PowerRect;рез-%1 коаг-%2;cut-%1 coag-%2;corte-%1 coag-%2
216;ProgAdditionPop;"Добавить новый ""Лист"" программы";"Add a new program ""sheet""";"Añadir una nueva ""hoja"" de programa"
217;ProgAdditionPop;"ДУБЛИРОВАТЬ
ТЕКУЩИЙ";"DUPLICATE
CURRENT";"DUPLICAR
ACTUAL"
218;ProgAdditionPop;"ВЫБРАТЬ ИЗ
РЕКОМЕНДОВАННЫХ";"CHOOSE FROM
RECOMMENDED";"ELEGIR DE
RECOMENDADOS"
219;ProgAdditionPop;"ДОБАВИТЬ
ПУСТОЙ";"ADD
EMPTY";"AÑADIR
VACÍO"
220;ProgItemList;РЕКОМЕНДУЕМЫЕ ПРОГРАММЫ;RECOMMENDED PROGRAMS;PROGRAMAS RECOMENDADOS
221;ProgItemList;ПРОГРАММЫ ПОЛЬЗОВАТЕЛЯ;USER PROGRAMS;PROGRAMAS DE USUARIO
222;ProgItemList;Выберите область;Select an area;Seleccione un área
223;ProgItemList;▲;▲;▲
224;ProgItemList;▼;▼;▼
225;ProgItemList;Выберите программу;SELECT PROGRAM;SELECCIONA UN PROGRAMA
226;ProgItemList;НАЗАД;BACK;ATRÁS
227;ProgItemList;Подтверждение удаления;Confirm deletion;Confirmar eliminación
228;ProgItemList;"Область ""%1"" будет удалена. Продолжить?";"Area ""%1"" will be deleted. Continue?";"El área ""%1"" se eliminará. ¿Continuar?"
229;ProgItemList;"Программа ""%1"" будет удалена. Продолжить?";"Program ""%1"" will be deleted. Continue?";"El programa ""%1"" se eliminará. ¿Continuar?"
230;ProgItemList;ОТМЕНА;CANCEL;CANCELAR
231;ProgItemList;ПРИНЯТЬ;ACCEPT;ACEPTAR
232;ProgSaveDialog;Сохранение программы;Save program;Guardar programa
233;ProgSaveDialog;ОТМЕНА;CANCEL;CANCELAR
234;ProgSaveDialog;ПРИНЯТЬ;ACCEPT;ACEPTAR
235;ProgSaveDialog;Выберите папку или создайте новую;SELECT A FOLDER;SELECCIONA UNA CARPETA
236;ProgSaveDialog;Категория;Category;Categoría
237;ProgSaveDialog;Укажите название программы;ENTER THE PROGRAM NAME;INGRESE EL NOMBRE DEL PROGRAMA
238;ProgSaveDialog;Название;Name;Nombre
239;QObject;БИ-СМЕСЬ;BI-BLEND;BI-MEZCLA
240;QObject;БИ-ТУР;BI-TUR;BI-TUR
241;QObject;БИ-АРТРО;BI-ARTHRO;BI-ARTRO
242;QObject;БИ-ГИСТЕРО;BI-HYSTERO;BI-HISTERO
243;QObject;БИ-КОАГ;BI-COAG;BI-COAG
244;QObject;БИ-КОАГ-ДИССЕКТ;BI-COAG-DISSECT;BI-COAG-DISECC
245;QObject;ТЕРМОШОВ;T-SEAM;TERMOSELLADO
246;QObject;РЕЗАНИЕ;CUT;CORTE
247;QObject;СМЕСЬ;BLEND;MEZCLA
248;QObject;СМЕСЬ-1;BLEND-1;MEZCLA-1
249;QObject;ТУР;TUR;TUR
250;QObject;ВАП;VAP;VAP
251;QObject;ЭНДОНОЖ-1;ENDOKNIFE-1;ENDOBISTURÍ-1
252;QObject;ЭНДОНОЖ-2;ENDOKNIFE-2;ENDOBISTURÍ-2
253;QObject;ЭНДОНОЖ-3;ENDOKNIFE-3;ENDOBISTURÍ-3
254;QObject;ЭНДОПЕТЛЯ-;ENDOLOOP-;ENDOASA-
255;QObject;ЭНДОПЕТЛЯ-2;ENDOLOOP-2;ENDOASA-2
256;QObject;ЭНДОПЕТЛЯ-3;ENDOLOOP-3;ENDOASA-3
257;QObject;ФОРС;FORCED;FORZADA
258;QObject;ФУЛЬГУР;FULGUR;FULGUR
259;QObject;МЯГКАЯ;SOFT;SUAVE
260;QObject;СПРЕЙ;SPRAY;SPRAY
261;QObject;ФУЛЬГУР АРГОН;FULGUR ARGON;FULGUR ARGÓN
262;QObject;СПРЕЙ АРГОН;SPRAY ARGON;SPRAY ARGÓN
263;QObject;ФУЛЬГУР ПУЛЬС АРГОН;FULGUR PULSE ARGON;FULGUR PULSO ARGÓN
264;QObject;СПРЕЙ ПУЛЬС АРГОН;SPRAY PULSE ARGON;SPRAY PULSO ARGÓN
265;RemoteUpdater;Серийный номер не задан (%1);Serial number is not set (%1);Número de serie no establecido (%1)
266;RemoteUpdater;Повтор открытия сессии (осталось попыток: %1)…;Retrying session open (attempts left: %1)…;Reintentando abrir la sesión (intentos restantes: %1)…
267;RemoteUpdater;Открываю сервисную сессию...;Opening service session...;Abriendo sesión de servicio...
268;RemoteUpdater;Жду готовности порта SSH-туннеля, повтор через 500 мс…;Waiting for SSH tunnel port, retry in 500 ms…;Esperando el puerto del túnel SSH, reintento en 500 ms…
269;RemoteUpdater;Не удалось открыть сервисную сессию: %1;Failed to open service session: %1;No se pudo abrir la sesión de servicio: %1
270;RemoteUpdater;Ответ open session не содержит sessionId;Open session response contains no sessionId;La respuesta de open session no contiene sessionId
271;RemoteUpdater;Сервисная сессия открыта;Service session opened;Sesión de servicio abierta
272;RemoteUpdater;Таймаут при выходе с экрана обновления (сессия сброшена локально);Timeout while leaving the update screen (session reset locally);Tiempo agotado al salir de la pantalla de actualización (sesión restablecida localmente)
273;RemoteUpdater;Повтор закрытия сессии (осталось попыток: %1)…;Retrying session close (attempts left: %1)…;Reintentando cerrar la sesión (intentos restantes: %1)…
274;RemoteUpdater;Закрываю сервисную сессию...;Closing service session...;Cerrando sesión de servicio...
275;RemoteUpdater;Жду порт туннеля для закрытия сессии, повтор через 500 мс…;Waiting for tunnel port to close session, retry in 500 ms…;Esperando el puerto del túnel para cerrar la sesión, reintento en 500 ms…
276;RemoteUpdater;Сервер недоступен — сессия сброшена на устройстве (close не доставлен): %1;Server unavailable — session reset on device (close not delivered): %1;Servidor no disponible: la sesión se restableció en el dispositivo (close no entregado): %1
277;RemoteUpdater;Сервисная сессия закрыта;Service session closed;Sesión de servicio cerrada
278;RemoteUpdater;Сначала откройте сервисную сессию;Open a service session first;Abra primero una sesión de servicio
279;RemoteUpdater;Проверяю версии на сервере...;Checking versions on the server...;Comprobando versiones en el servidor...
280;RemoteUpdater;Ошибка check-version: %1;check-version error: %1;Error de check-version: %1
281;RemoteUpdater;Доступно обновление ПО;Software update available;Actualización de software disponible
282;RemoteUpdater;Обновление не требуется;No update required;No se requiere actualización
283;RemoteUpdater;Создаю задачу обновления...;Creating update job...;Creando tarea de actualización...
284;RemoteUpdater;Ошибка create update job: %1;create update job error: %1;Error de create update job: %1
285;RemoteUpdater;Ответ create job не содержит jobId;Create job response contains no jobId;La respuesta de create job no contiene jobId
286;RemoteUpdater;Задача обновления создана;Update job created;Tarea de actualización creada
287;RemoteUpdater;Нужны открытая сессия и jobId;An open session and jobId are required;Se requieren una sesión abierta y un jobId
288;RemoteUpdater;Получаю payload обновления...;Fetching update payload...;Obteniendo el payload de la actualización...
289;RemoteUpdater;Ошибка получения payload: %1;Failed to fetch payload: %1;Error al obtener el payload: %1
290;RemoteUpdater;Payload не содержит artifactUrl;Payload contains no artifactUrl;El payload no contiene artifactUrl
291;RemoteUpdater;Payload получен;Payload received;Payload recibido
292;RemoteUpdater;SSH-туннель уже активен;SSH tunnel is already active;El túnel SSH ya está activo
293;RemoteUpdater;Не задан tunnelUserHost (пример: user@10.64.61.2);tunnelUserHost is not set (example: user@10.64.61.2);tunnelUserHost no está establecido (ejemplo: user@10.64.61.2)
294;RemoteUpdater;SSH process exited with code %1;SSH process exited with code %1;El proceso SSH terminó con código %1
295;RemoteUpdater;SSH-туннель остановлен (code=%1): %2;SSH tunnel stopped (code=%1): %2;Túnel SSH detenido (code=%1): %2
296;RemoteUpdater;Ошибка SSH-туннеля: %1;SSH tunnel error: %1;Error del túnel SSH: %1
297;RemoteUpdater;Не удалось запустить SSH-туннель (нужна key-based auth): %1;Failed to start SSH tunnel (key-based auth required): %1;No se pudo iniciar el túnel SSH (se requiere autenticación por clave): %1
298;RemoteUpdater;SSH-туннель запущен, apiBaseUrl=%1;SSH tunnel started, apiBaseUrl=%1;Túnel SSH iniciado, apiBaseUrl=%1
299;RemoteUpdater;SSH-туннель остановлен;SSH tunnel stopped;Túnel SSH detenido
300;RemoteUpdater;Нельзя запустить мониторинг без активной сессии;Cannot start monitoring without an active session;No se puede iniciar la monitorización sin una sesión activa
301;RemoteUpdater;Мониторинг команд оператора запущен;Operator command monitoring started;Monitorización de comandos del operador iniciada
302;RemoteUpdater;Мониторинг команд оператора остановлен;Operator command monitoring stopped;Monitorización de comandos del operador detenida
303;RemoteUpdater;Detached restart не удался, выполняю restart через exit code;Detached restart failed, restarting via exit code;El reinicio independiente falló, reiniciando mediante código de salida
304;RemoteUpdater;таймаут или kill;timeout or kill;tiempo agotado o kill
305;RemoteUpdater;код %1;code %1;código %1
306;RemoteUpdater;Не удалось остановить сервис (systemctl --user stop Demo1-user.service). %1;Failed to stop the service (systemctl --user stop Demo1-user.service). %1;No se pudo detener el servicio (systemctl --user stop Demo1-user.service). %1
307;RemoteUpdater;Не удалось запустить shell: %1;Failed to start shell: %1;No se pudo iniciar el shell: %1
